question,choices,answer,subject,explaination
What does DL RS power stand for?,"['Downlink Resource Symbol power.', 'Domain-Level Resource Symbol power.', 'Downlink Reference Signal power.', 'Data Link Resource Symbol power.', 'Distribution Link Reference Symbol power.']",2,Lexicon,DL RS power refers to the resource element power of the Downlink Reference Symbol.
Which feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery? [3GPP Release 15],"['Unlicensed Spectrum Offloading System', 'Enhancements to LTE operation in unlicensed spectrum', 'Voice services over WLAN', 'WLAN Offloading System']",3,Standards overview,The feature that proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery is the WLAN Offloading System.
What are the LR-FHSS Data Rate (DR) modes defined for the EU863-870 band?,"['DR8/10 and DR9/11', 'DR5 and DR6', 'DR8 and DR9', 'DR9 and DR10', 'DR10 and DR11']",0,Research publications,"The LR-FHSS Data Rate (DR) modes for the EU863-870 band are DR8/10 (slower, higher robustness) and DR9/11 (faster, lower robustness)."
What is the key challenge for 5G and beyond-5G wireless networks?,"['Decreasing cell size', 'Cloud radio access networks (C-RAN)', 'Distributed antenna systems (DAS)', 'Ubiquitous connectivity to diversified user and device types', 'Heterogeneous network (HetNet) deployments']",3,Research publications,The phenomenon of providing ubiquitous connectivity to diversified user and device types is the key challenge for 5G and beyond-5G wireless networks.
What is the maximum number of S-NSIs that a GN-NSI can consist of?,"['4', '6', '8', '10', '12']",2,Standards overview,A GN-NSI can consist of up to eight S-NSIs in the Sub Network Slicing architecture.
What are the primary neural network architectures in deep learning?,"['Unsupervised pre-trained networks, convolutional neural networks, and recursive neural networks', 'Supervised pre-trained networks, convolutional neural networks, and recurrent neural networks', 'Unsupervised pre-trained networks, convolutional neural networks, and recurrent neural networks', 'Supervised pre-trained networks, convolutional neural networks, and recursive neural networks']",0,Research publications,"The primary neural network architectures in deep learning are unsupervised pre-trained networks, convolutional neural networks, and recursive neural networks."
The Hamiltonian can be interpreted as the ________ of a particle.,"['force', 'momentum', 'energy', 'velocity', 'charge']",2,Research publications,The Hamiltonian can be interpreted as the total energy of a particle.
When can there be two N3 tunnel terminations at the RAN for a PDU Session? [3GPP Release 18],"['When there are multiple PDU Session Ids for the PDU Session', 'When the QoS Flows of the PDU Session are split across the two RATs', 'When the PDU Session belongs to a specific Network Slice', 'When the Master RAN node is congested', 'When the Secondary RAN node is congested']",1,Standards specifications,"If the DL User Plane traffic of some QoS Flows of a PDU Session are directed to the Secondary RAN Node while the remaining QoS Flows are directed to the Master RAN Node, there will be two N3 tunnel terminations at the RAN for such PDU Session."
What is the main benefit of the platooning use case in NR-V2X?,"['Improved road safety', 'Increased traffic efficiency', 'Enhanced perception, planning, and control in road users', 'Better collision avoidance', 'None of the above']",1,Standards overview,"The platooning use case in NR-V2X enables vehicles to follow each other closely with a reduced safety distance, resulting in increased traffic efficiency."
What is spatial multiplexing (SM)?,"['A network maintained by a subscription service provider', 'A technique for transmitting data streams on multiple spatial channels', 'A label for MAC service data units with distinct user priority', 'A set of services that support transport of MAC service data units between stations']",1,Lexicon,Spatial multiplexing (SM) is a transmission technique in which data streams are transmitted on multiple spatial channels provided through the use of multiple antennas at the transmitter and receiver.
What is a blockchain?,"['A centralized and tamper-resistant database controlled by a single entity.', 'A distributed and tamper-resistant database that no single entity controls and can be shared by all.', 'A database that can be modified or erased by any entity.', 'A database that only allows read access to a single entity.']",1,Research publications,"A blockchain is a distributed and tamper-resistant database that no single entity controls, but can be shared and accessed by all."
What information does a router exchange with its neighbors in EIGRP (Enhanced Interior Gateway Routing Protocol)?,"['Routing tables', 'Update messages', 'Neighbor lists', 'Topology tables']",1,Research publications,Routers in EIGRP exchange update messages containing distance vectors of known destinations.
What is the seed used in the CTR mode PRNG (pseudorandom number generator) algorithm?,"['128-bit key only', '128-bit V value only', '128-bit key and 128-bit V value', '64-bit represen-tation of the current date and time', '64-bit seed value']",2,Research publications,The seed in the CTR mode PRNG algorithm consists of both the 128-bit key and the 128-bit V value.
What is the definition of Operating Band?,"['A group that does not have a pre-defined set of members.', 'Standardized Interface used by application/clients to access service capability features.', 'A frequency range in which E-UTRA operates with specific technical requirements.', 'The network where the calling party is located.']",2,Lexicon,Operating Band is defined as a frequency range in which E-UTRA operates (paired or unpaired) with specific technical requirements.
What are dependent stations (STA)?,"['STAs that are registered and have control over their operational parameters', 'STAs that can operate independently without receiving messages from other STAs', 'STAs that are not registered and have operational parameters dictated by enabling STAs', 'STAs that can operate on multiple frequency segments simultaneously']",2,Lexicon,Dependent stations (STA) are STAs that are not registered and whose operational parameters are dictated by messages received from enabling STAs.
Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],"['eNB Configuration Transfer', 'Downlink RAN Configuration Transfer', 'Uplink RAN Configuration Transfer', 'MME Configuration Transfer']",2,Standards overview,The NGAP procedure used for inter-system load balancing is Uplink RAN Configuration Transfer.
What is the Laplace transform or the PGF used for?,"['Determining the mean, variance, and coefficient of variation', 'Determining the maximum likelihood estimates of mean value parameters', 'Determining the probability generating function of distributions', 'Establishing specific results in queueing theory', 'None of the above']",2,Research publications,The Laplace transform or the PGF is used for determining the probability generating function of distributions.
What is specified in ANSI X9.17 as one of the strongest PRNGs (pseudorandom number generators)?,"['BBS Generator', 'AES PRNG', 'CTR_DRBG PRNG', 'OFB PRNG', 'Triple DES PRNG']",4,Research publications,ANSI X9.17 specifies the use of Triple DES for encryption in one of the strongest PRNGs.
What do multiple cooperative half-duplex (HD) eavesdroppers do in UAV (Unmanned aerial vehicle) wireless communication systems?,"['They transmit jamming noise to the legitimate receiver', 'They intercept the confidential signals only', 'They transmit jamming noise and intercept the confidential signals simultaneously', 'They mimic a full-duplex eavesdropper without transmitting jamming']",2,Research publications,"Multiple cooperative half-duplex (HD) eavesdroppers in UAV wireless communication systems can mimic a full-duplex eavesdropper via cooperation. Some eavesdroppers transmit jamming to the legitimate receiver, while the others intercept the confidential signal."
What is the purpose of the Validity Period for predictions? [3GPP Release 18],"['To indicate the area of interest', 'To provide the Target of Analytics Reporting', 'To determine the Reporting Threshold', 'To define the time window', 'To specify the maximum number of objects']",3,Standards specifications,The Validity Period for predictions is used to define the time window for which the predictions are valid.
What is the purpose of the MCImp-MC_ARCH work item? [3GPP Release 14],"['To specify a common functional architecture for MCVideo', 'To specify a common functional architecture for MCData', 'To specify a common functional architecture for all mission critical services', 'To specify a common functional architecture for MCPTT only']",2,Standards overview,The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services.
What is the purpose of the distributed automatic network access engine in INAS (intelligent network access system)?,"['To gather information about network access options', 'To select the best network application based on traffic conditions', 'To calculate QoS improvement for network handover', 'To provide recommendations for network access', 'To determine network selection and handover']",4,Research publications,"The distributed automatic network access engine in INAS determines network selection and handover based on the gathered information and recommendations, improving the overall performance of the network."
What are the most harmful RF exposure hazards? [IEEE C95.1],"['Localized RF heating effects', 'Whole-body heating effects', 'Microwave hearing effects', 'RF shocks and burns', 'Low-level effects']",3,Standards specifications,RF shocks and burns constitute the most harmful RF exposure hazard.
What should the UE consider if it cannot detect any cell meeting the S criterion on a frequency for sidelink operation? [3GPP Release 17],"['Out-of-coverage for sidelink operation on that frequency', 'Out-of-coverage for V2X sidelink communication on that frequency', 'Out-of-coverage for NR sidelink communication on that frequency', 'In-coverage for NR sidelink communication on that frequency', 'In-coverage for sidelink operation on that frequency']",0,Standards specifications,"If the UE cannot detect any cell on a frequency meeting the S criterion, it shall consider itself to be out-of-coverage for sidelink operation on that frequency."
What is the purpose of the Member UE selection assistance functionality hosted by NEF? [3GPP Release 18],"[""To provide filtering criteria for AF's inputs"", 'To collect corresponding data from relevant 5GC NFs', ""To select member UEs for AF's application operations"", 'To provide QoS for the updated list of UEs', 'To assist the AI/ML application server in scheduling UEs']",2,Standards specifications,The Member UE selection assistance functionality hosted by NEF is used to assist the AF in selecting member UEs that can be used in application operations such as AI/ML based applications.
What happens when a mobile station issues a successful association request in 802.11 wireless networks? [IEEE 802.11],"['The access point responds with a status code of 0 and the AID', 'The access point responds with a deauthentication frame', 'The access point buffers frames for the mobile station in a power-saving state', 'The access point bridges frames from Ethernet to the wireless medium', 'The access point initiates the reassociation procedure']",0,Standards specifications,"When a successful association request is issued, the access point responds with a status code of 0 (successful) and the Association ID (AID)."
Which layer in the OSI (open systems interconnection) protocol architecture is responsible for specifying the physical characteristics of signal transmission in wireless networks?,"['Application layer', 'Transport layer', 'Network layer', 'MAC layer', 'Physical layer']",4,Research overview,The physical layer is responsible for specifying the physical characteristics of signal transmission in wireless networks.
When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],"['When UE is in CM-REJECTED state', 'When UE is in CM-IDLE state', 'When UE is in CM-REGISTERED state', 'When UE is in CM-DISCONNECTED state', 'When UE is in CM-CONNECTED state']",4,Standards specifications,"If the AMF receives start and stop times, it sends a message to the NG-RAN to enable or disable the 5G access stratum time distribution according to the expiry of start and stop times when the UE is in CM-CONNECTED state."
What are the different types of AG (air to ground) propagation channel models?,"['Deterministic and statistical', 'Deterministic, stochastic, or their combination', 'Regular shaped and irregular shaped', 'Purely stochastic and empirical']",1,Research overview,"The document categorizes AG propagation channel models in the literature into deterministic, stochastic, or their combination."
What does Jensen's inequality state?,"['If a function is convex, its expectation is greater than or equal to the function applied to the expectation value', 'If a function is concave, its expectation is less than or equal to the function applied to the expectation value', 'If a function is convex, its expectation is always equal to the function applied to the expectation value', 'If a function is convex, its expectation is less than or equal to the function applied to the expectation value', 'If a function is concave, its expectation is greater than or equal to the function applied to the expectation value']",0,Research publications,"Jensen's inequality states that for a convex function, the expectation of the function is greater than or equal to the function applied to the expectation value."
What is the purpose of caching in hybrid optimal-satellite networks?,"['To reduce intermittent connectivity', 'To improve resource allocation', 'To optimize content placement', 'All of the above', 'None of the above']",3,Research overview,"Caching in hybrid optimal-satellite networks serves the purpose of reducing intermittent connectivity, improving resource allocation, and optimizing content placement."
When can target UEs be positioned for lawful interception services? [3GPP Release 17],"['Only if the target UE user authorizes it', 'Only if the privacy attribute value allows positioning', 'Under all circumstances required by local regulatory requirements', 'Never']",2,Standards specifications,Target UEs can be positioned for lawful interception services under all circumstances required by local regulatory requirements.
What is an advantage of lower frequency (sub-GHz) imaging compared to mmWave/THz imaging?,"['Lower frequency generates higher-resolution images', 'Lower frequency has wider coverage', 'Lower frequency is less impacted by interference', 'Lower frequency has shorter exposure time', 'Lower frequency enables non-LOS imaging']",1,Standards overview,Lower frequency (sub-GHz) imaging has wider coverage compared to mmWave/THz imaging.
What is the definition of aggregate medium access control (MAC) protocol data unit (A-MPDU)?,"['The prevention of unauthorized usage of resources', 'An entity that contains one station and provides access to the distribution system services', 'A structure that contains one or more MSDUs and is transported within a single data MAC protocol data unit', 'A portion of an A-MPDU that contains a delimiter and optionally contains an MPDU plus any necessary padding', 'A portion of an A-MSDU that contains a header and associated MSDU']",2,Lexicon,An aggregate medium access control (MAC) protocol data unit (A-MPDU) is a structure that contains one or more MAC service data units (MSDUs) and is transported within a single data MAC protocol data unit.
What is the purpose of data frames in 802.11? [IEEE 802.11],"['To carry data from station to station', 'To perform area clearing and carrier-sensing maintenance', 'To join and leave wireless networks', 'To indicate whether frames are buffered for a station']",0,Standards specifications,Data frames in 802.11 are used to haul data from station to station.
Which non-orthogonal multiple access scheme is based on the enhanced multi-carrier code division multiple access (MC-CDMA) scheme?,"['SCMA', 'PDMA', 'MUSA', 'MUST', 'NOMA']",2,Research publications,The MUSA scheme is based on the enhanced multi-carrier code division multiple access (MC-CDMA) scheme.
What is the advantage of using IRS (intelligent reflecting surface) in wireless communications?,"['Increasing the bit error probability', 'Reducing the coverage area', 'Enhancing the signal power', 'Decreasing the capacity']",2,Research overview,"The advantage of using IRS in wireless communications is that it enhances the signal power, leading to improved coverage or outage probability."
Which communities is anomaly detection highlighted in?,"['Data mining and machine learning', 'Computer vision and statistics', 'Risk management and compliance', 'Financial surveillance and health', 'All of the above']",4,Research publications,"Anomaly detection plays increasingly important roles, highlighted in various communities including data mining, machine learning, computer vision, and statistics, as well as risk management, compliance, security, financial surveillance, health and medical risk, and AI safety."
What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],"['Multicast DCI formats', 'Broadcast DCI formats', 'Unicast DCI formats', 'PUCCH DCI formats']",1,Standards specifications,DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI for broadcast scheduling PDSCH receptions are referred to as broadcast DCI formats.
What is the definition of operating band?,"[""Circular orbit at 35,786 km above the Earth's equator."", 'Orbit around the Earth with an altitude between 300 km, and 1500 km.', 'Frequency range in which E-UTRA operates (paired or unpaired).', 'The sum of Prated,c,TABC for all TAB connectors for a single carrier of the SAN GEO class.', 'Node providing E-UTRA user plane and control plane protocol terminations towards NTN Satellite capable UE.']",2,Lexicon,The definition of operating band is the frequency range in which E-UTRA operates (paired or unpaired).
What are the main services provided by fifth-generation (5G) networks?,"['Enhanced massive broadband', 'Ultra-reliable and low-latency (URLL) communications', 'Massive machine type communications', 'All of the above']",3,Research publications,"Fifth-generation (5G) networks provide diverse services, including enhanced massive broadband, ultra-reliable and low-latency (URLL) communications, and massive machine type communications."
What remains unchanged under restricted time reversal in dielectric materials?,"['The direction of wave propagation', 'The frequency of the waves', 'The dielectric function', 'The laws of classical physics', 'The external bias fields']",2,Research overview,"Under restricted time reversal, the dielectric material remains unchanged with the same dielectric function."
When can the unused portion of a polled TXOP be reallocated by the HC? [IEEE 802.11],"['When a PHY-CCA.indication (BUSY) primitive occurs at the STA expecting the Ack frame', 'When the expected Ack frame is not received', 'When there is not enough time to transmit a QoS Null frame', 'When the STA ceases control of the channel', 'When there are no frames to be sent to the HC']",4,Standards specifications,The unused portion of a polled TXOP can be reallocated by the HC when there are no frames to be sent to the HC.
What frequency band is traditionally used for satellite communications?,"['Ku-band', 'C-band', 'L-band', 'Ka-band', 'Q/V-band']",1,Research overview,The document states that satellite communications traditionally operate in the C-band.
"In NFV (Network Function Virtualization) design considerations, what is a key security risk that should be considered in NFV infrastructure designs?","['Failure or security breach in one function affecting another', 'Functions/services from different subscribers being protected/isolated', 'Delivered subscriber services affecting the NFVI', 'Reliability and availability of functions', 'Support for heterogeneity']",1,Research overview,"In NFV infrastructure designs, functions or services from different subscribers should be protected/isolated from each other."
What are the two different architectures specified by MulteFire for deployment?,"['Public Land Mobile Network (PLMN) access mode and Neutral Host Network (NHN) access mode', 'Long Term Evolution (LTE) and Wi-Fi', 'Licensed spectrum and unlicensed spectrum', 'LTE and MulteFire']",0,Standards overview,MulteFire specifies two different architectures for deployment: Public Land Mobile Network (PLMN) access mode and Neutral Host Network (NHN) access mode.
What UL (uplink) transmission scheme does MulteFire use?,"['Block Interleaved FDMA (B-IFDMA)', 'Orthogonal Frequency Division Multiple Access (OFDMA)', 'Time Division Multiple Access (TDMA)', 'Code Division Multiple Access (CDMA)']",0,Standards overview,MulteFire uses Block Interleaved FDMA (B-IFDMA) as the UL transmission scheme.
What is the key difference between Digital Twin-based systems and existing network simulation and planning tools?,"['Digital Twin-based systems are not connected to deployed physical subsystems', 'Digital Twin-based systems do not evolve as the deployment proceeds', 'Digital Twin-based systems are connected to deployed physical subsystems and the whole system evolves as the deployment proceeds', 'Digital Twin-based systems do not use Artificial Intelligence']",2,Standards overview,The document states that the key difference in Digital Twin-based systems compared to existing network simulation and planning tools is that they are connected to deployed physical subsystems and the whole system evolves as the deployment proceeds.
What kind of access can enterprise UEs have to non-public networks? [3GPP Release 17],"['Access to the non-public network of the enterprise only', 'Access to both a non-public network and a PLMN', 'Access to a PLMN only', 'Access to a PLMN and a non-public network via a different network', 'Access to a PLMN and a non-public network via multiple subscriptions']",1,Standards specifications,"Some enterprise UEs can be restricted to only access the non-public network of the enterprise, while others can access both a non-public network and a PLMN where specifically allowed."
What is the benefit of using a Cloud radio access network (C-RAN)?,"['Reducing the capital expenditure (CAPEX) and operating expenditure (OPEX)', 'Improving the coverage and capacity of cell-edge users and hotspot', 'Mitigating interference and improving spectrum efficiency', 'Lowering the number of BBUs in densely deployed heterogeneous small cell network', 'Reducing the consumed power']",0,Research publications,A C-RAN network architecture can reduce both CAPEX and OPEX for mobile operators.
"What is the formula for calculating the magnetic field intensity inside a solenoid? (H is field intensity, N is the number of turns, I is current, and L is the length of the solenoid)","['H = N * I / L', 'H = N / I * L', 'H = N / (I * L)', 'H = N * I * L']",0,Research publications,"The formula for calculating the magnetic field intensity inside a solenoid is H = N * I / L, where H is field intensity, N is the number of turns, I is current, and L is the length of the solenoid."
What is the purpose of the TRP Measurement Grid? [3GPP Release 18],"['To calculate the CDF of the EIRP/EIS distribution in 3D', 'To determine the total power radiated by the DUT in the TX beam peak direction', 'To determine the TX and RX beam peak direction', 'To perform TRP measurements taken on the sampling grid', 'To perform 3D Throughput/RSRP/EIS scans for RX beam peak direction']",3,Standards specifications,The TRP Measurement Grid is used to perform TRP measurements taken on the sampling grid to determine the total power radiated by the DUT in the TX beam peak direction.
What action is necessary to get access to services in Idle mode? [3GPP Release 17],"['Camping on a cell', 'Performing location registration', 'Performing CN type selection', 'Performing RNA update', 'All of the above']",0,Standards specifications,Camping on a cell is necessary to get access to services in Idle mode.
Which type of cloud-based computing resources are vulnerable to security attacks and breaches?,"['Hybrid', 'Proximate immobile computing entities', 'Proximate mobile computing entities', 'Distant immobile clouds']",3,Research overview,Distant immobile clouds are vulnerable to security attacks and breaches.
How does EC-GSM-IoT improve coverage performance for Cellular IoT devices? [3GPP Release 14],"['By increasing the transmit power', 'By reducing the MS complexity', 'By using modified channel coding schemes', 'By adding more timeslot resources']",2,Standards overview,EC-GSM-IoT improves the coverage performance of Cellular IoT devices by using modified channel coding schemes.
Which machine learning algorithm is used for detecting selective forwarding attacks in WSNs (wireless sensor networks)?,"['Bayesian belief networks', 'k-nearest neighbors', 'Support vector machine (SVM)', 'Self-organizing map (SOM)', 'Gaussian processes']",2,Research overview,Selective forwarding attacks can be detected using support vector machine (SVM) in WSNs.
What does availability refer to in wireless networks?,"['The capability of restricting data access to authorized users only', 'The process of confirming the true identity of a network node', 'The capability of limiting data access to intended users only', 'The process of encrypting data using a secret key', 'The capability of authorized users to access a wireless network anytime and anywhere']",4,Research overview,Availability implies that authorized users are capable of accessing a wireless network anytime and anywhere upon request.
What are the two-fold synergies between AI (artificial intelligence) and network slicing ?,"['AI for slicing and slicing for AI', 'AI for data rates and slicing for capacity', 'AI for network management and slicing for QoS', 'AI for preparation and slicing for operation']",0,Research publications,The synergies between AI and network slicing are AI for slicing (applying AI techniques to manage network slices) and slicing for AI (using network slicing for constructing customized slices for AI services).
What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],"['The Target NF/NF Service receiving a notification about the decommissioning', 'The Source NF informing the NRF about the decommissioning', 'The Source NF sending a request to the Target NF/NF Service', 'The Target NF/NF Service receiving a request from the Source NF/NF Service', 'The Target NF/NF Service setting up necessary information about the new context location']",2,Standards specifications,"When triggered, the Source NF/NF Service acting as an NF Service Consumer sends its Context to the Target NF/NF Service acting as an NF Service Producer by sending a request."
What causes fog attenuation?,"['Absorption Loss', 'Scattering Loss', 'Turbulence Loss', 'Pointing and Optical Losses', 'Rain Attenuation']",1,Research publications,"Fog causes Mie scattering, which is a type of scattering loss."
What is the definition of queue stability?,"['A queue is strongly stable if it has a bounded time average backlog.', 'A network of queues is strongly stable if it has a bounded time average backlog.', 'A queue is stable if its queue length is always below a certain threshold.']",0,Research publications,Queue stability refers to the property of a queue to have a bounded time average backlog.
"In the context of IoT, what is the advantage of NOMA (non-orthogonal multiple access) over OMA (orthogonal multiple access)?","['NOMA can connect trillions of devices with thousands of bandwidth channels.', 'NOMA can serve thousands of IoT devices in a single channel use.', 'OMA can connect trillions of devices with thousands of bandwidth channels.', 'OMA can serve thousands of IoT devices in a single channel use.', 'There is no advantage of NOMA or OMA in the context of IoT.']",1,Research publications,"With OMA, connecting thousands of IoT devices requires thousands of bandwidth channels, while NOMA can serve these devices in a single channel use, making it advantageous for IoT applications."
What are the main research challenges in PMNs (Perceptive Mobile Networks)?,"['Sensing on the infrastructure of communication networks', 'Joint design and optimization', 'Exploring the mutual benefits of communication and sensing via integration', 'Sensing in a networked environment', 'All of the above']",4,Research overview,"The challenges in PMNs are mainly associated with realizing sensing on the infrastructure of communication networks, joint design and optimization, exploring the mutual benefits of communication and sensing via integration, and sensing in a networked environment."
What is the purpose of opportunistic beamforming?,"['To exploit multiuser diversity in slow fading environments', 'To increase channel fluctuations in fast fading environments', 'To measure individual channel gains for each transmit antenna', 'To schedule transmissions to users based on their overall channel SNR']",0,Research publications,The purpose of opportunistic beamforming is to exploit multiuser diversity in slow fading environments.
What is adaptive transforms for compression?,"['Transforms that are computed adaptively at the encoder to optimize the compression process', 'Transforms that are fixed and known in advance both at the encoder and decoder', 'Transforms that require communication of ancillary information to the decoder', 'Transforms that are losslessly coded using data compression algorithms']",0,Research overview,Adaptive transforms for compression are transforms that are computed adaptively at the encoder in order to optimize the compression process.
Which 5G vertical domain is the maritime domain a part of? [3GPP Release 16],"['Public safety domain', 'Automotive domain', 'Factory automation domain', 'Satellite industrial domain', 'None of the above']",4,Standards overview,The maritime domain is one of the 5G vertical domains in 3GPP.
